album_id,album_title,album_releaseDate,maker_id,album_genre
fb8627b0-e6d6-43d8-8597-bc1080eee01e,AlbumTitle1,2000-10-21,18aa0ead-0a0d-48d0-83c9-d05724a2abf2,Electronic
deec1605-f17f-4af0-89f4-18d62b153c3a,AlbumTitle2,2001-03-08,d4435f6e-308e-4bbe-8a7b-53ba5f3962d5,Metal
f26ef688-e990-491d-a04f-985cfc6c8d6a,AlbumTitle3,2002-09-05,2117bec7-1cab-4b57-ac83-a49f001e4cdb,Jazz
f50846fe-fa3e-47a4-88e9-179540844084,AlbumTitle4,2003-10-09,0f1f2fbd-8312-4554-aa89-d234da865cd4,Pop
79d33e82-05a2-4c3a-9afd-a32311daa4d6,AlbumTitle5,2004-01-08,ccf84c94-802b-43b5-aaf0-02065faaefb4,Reggae
36d12a13-13a7-45cf-b0fb-1176614d165d,AlbumTitle6,2005-12-28,f2da3bf4-a927-4c4e-a46b-9c66ab2bcf14,Blues
475783b8-e645-41e4-bf2e-086ad4159105,AlbumTitle7,2006-10-21,b0d5643a-573a-4f80-936f-528f3ff12604,Classical
e115ae95-c5fa-4cc9-951d-5e60303b2d0c,AlbumTitle8,2007-12-12,4050483a-28f5-43ea-9183-21fe6a27d794,Disco
1798c01d-6ea0-4aa9-90b8-421f7f48f008,AlbumTitle9,2008-08-05,65f7b172-db7d-40a5-9be1-457ae837143c,Hip-Hop
c81d2ca4-eed7-47c4-bd3f-948b13ae6392,AlbumTitle10,2009-10-20,c2a3d5ea-d87b-4db0-b57a-97529f90730b,Classical
38ddfe44-f084-48c9-b628-b660bdc0067d,AlbumTitle11,2010-12-10,1d0b4a9e-2cfe-4ac8-bc3a-b5a639d9b28d,Jazz
a1a3e5d1-d0a3-4393-a03d-912c7d22e974,AlbumTitle12,2011-01-08,6a49ba1e-c3a8-41d3-a614-b42dfb2dcad5,Country
dee9dbda-b4a5-4190-8265-a9922e04dfe4,AlbumTitle13,2012-02-26,18aa0ead-0a0d-48d0-83c9-d05724a2abf2,Pop
6c8a1199-5605-4d47-99b8-17ef64c24797,AlbumTitle14,2013-06-21,d4435f6e-308e-4bbe-8a7b-53ba5f3962d5,Jazz
6793ee1d-baf7-4c9b-826a-5f8e00603128,AlbumTitle15,2014-07-04,2117bec7-1cab-4b57-ac83-a49f001e4cdb,Blues
